"Story","Title","Result","Date","Stability","Duration (s)"
"Sign up form","Verify that the Sign up popup appears when user clicks the Sign up link","SUCCESS","2022-05-14T18:47:37.09+07:00[Asia/Bangkok]","0.0","21.91"
"Sign up form","Verify that user is able to sign up when entering valid inputs in all fields","SUCCESS","2022-05-14T18:47:59.455+07:00[Asia/Bangkok]","0.0","17.43"
"Sign up form","Verify that the error message is shown when user leaves the full name blank","SUCCESS","2022-05-14T18:48:23.452+07:00[Asia/Bangkok]","0.0","12.41"
"Sign up form","Verify that the error message is shown when user enters data less than 6 characters","SUCCESS","2022-05-14T18:48:35.93+07:00[Asia/Bangkok]","0.0","12.17"
"Sign up form","Verify that the error message is shown when user enters only spaces in the Full name field","SUCCESS","2022-05-14T18:48:48.502+07:00[Asia/Bangkok]","0.0","11.4"
"Sign up form","Verify that the error message is shown when user enters email in the wrong format","SUCCESS","2022-05-14T18:49:00.323+07:00[Asia/Bangkok]","0.0","12.92"
"Sign up form","Verify that the error message is shown when user leaves the email field blank","SUCCESS","2022-05-14T18:49:13.765+07:00[Asia/Bangkok]","0.0","11.61"
"Sign up form","Verify that the error message is shown when user enters only spaces in the email field","SUCCESS","2022-05-14T18:49:25.486+07:00[Asia/Bangkok]","0.0","13.35"
"Sign up form","Verify that the error message is shown when user leaves phone number field blank","SUCCESS","2022-05-14T18:49:39.521+07:00[Asia/Bangkok]","0.0","13.12"
"Sign up form","Verify that the error message is shown when user leaves password field blank","SUCCESS","2022-05-14T18:49:52.744+07:00[Asia/Bangkok]","0.0","14.71"
