"Story","Title","Result","Date","Stability","Duration (s)"
"Phone","Verify that Galaxy S6 display correct in phone category","SUCCESS","2022-05-14T14:10:02.25+07:00[Asia/Bangkok]","0.0","13.26"
"Phone","Verify that GalaxyS6 displays correct in detail page when user click on name","FAILURE","2022-05-14T14:10:19.53+07:00[Asia/Bangkok]","0.0","6.99"
"Add to cart","Verify that user is able to add products to cart when clicking the 'Thêm vào giỏ'button","SUCCESS","2022-05-15T21:00:20.214+07:00[Asia/Bangkok]","0.0","13.7"
"Add to cart","Verify that product price is displayed correctly in the Cart","SUCCESS","2022-05-15T21:00:34.1+07:00[Asia/Bangkok]","0.0","8.85"
"Add to cart","Verify that product name is displayed correctly in the cart","SUCCESS","2022-05-15T21:00:43.019+07:00[Asia/Bangkok]","0.0","9.58"
"Add to cart","Verify that user is able to select the amount of product in the cart","SUCCESS","2022-05-15T21:00:52.691+07:00[Asia/Bangkok]","0.0","11.78"
"Add to cart","Verify that product price must be greater than 0 in cart","FAILURE","2022-05-15T21:01:04.581+07:00[Asia/Bangkok]","0.0","11.46"
"Add to cart","Verify that product is able to deleted when user clicks the Delete icon","SUCCESS","2022-05-15T21:01:16.344+07:00[Asia/Bangkok]","0.0","9.39"
"Add to cart","Verify that total amount of the order is displayed correctly with product price of chosen products","SUCCESS","2022-05-15T21:01:25.81+07:00[Asia/Bangkok]","0.0","13.79"
"Login page","Verify that user is able to login when entering valid inputs","SUCCESS","2022-05-15T20:53:11.939+07:00[Asia/Bangkok]","0.0","14.74"
"Login page","Verify that the error message is shown when user enters incorrect password","SUCCESS","2022-05-15T20:53:31.642+07:00[Asia/Bangkok]","0.0","14.43"
"Login page","Verify that the error message is shown when user leaves the password blank","SUCCESS","2022-05-15T20:53:46.545+07:00[Asia/Bangkok]","0.0","12.15"
"Login page","Verify that the error message is shown when user enters spaces in the password field","SUCCESS","2022-05-15T20:53:59.189+07:00[Asia/Bangkok]","0.0","12.81"
"Login page","Verify that the error message is shown when user enters password less than 6 characters","SUCCESS","2022-05-15T20:54:12.468+07:00[Asia/Bangkok]","0.0","12.98"
"Login page","Verify that the error message is shown when user leaves the email field blank","SUCCESS","2022-05-15T20:54:26.11+07:00[Asia/Bangkok]","0.0","11.59"
"Login page","Verify that the error message is shown when user enters wrong format email","SUCCESS","2022-05-15T20:54:37.799+07:00[Asia/Bangkok]","0.0","11.57"
"Login page","Verify that the error message is shown when user enters spaces in the Email field","SUCCESS","2022-05-15T20:54:49.959+07:00[Asia/Bangkok]","0.0","11.49"
"Login page","Verify that the error message is shown when user enters invalid email","SUCCESS","2022-05-15T20:55:01.619+07:00[Asia/Bangkok]","0.0","11.9"
"Order Page","Verify that the 'Đặt hàng' pop up appears when user clicks 'Đặt hàng' button","SUCCESS","2022-05-16T23:47:12.38+07:00[Asia/Bangkok]","0.0","28.55"
"Order Page","Verify that the information popup appears when user orders successfully","SUCCESS","2022-05-16T23:47:41.448+07:00[Asia/Bangkok]","0.0","19.11"
"Order Page","Verify that the error message is shown when user leaves password blank","SUCCESS","2022-05-16T23:48:06.513+07:00[Asia/Bangkok]","0.0","16.82"
"Order Page","Verify that the error message is shown when user enters invalid password","SUCCESS","2022-05-16T23:48:23.429+07:00[Asia/Bangkok]","0.0","18.53"
"Order Page","Verify that the total price in cart is equal to total price in order","SUCCESS","2022-05-16T23:48:42.772+07:00[Asia/Bangkok]","0.0","18.52"
"Order Page","Verify that the error message is shown when user leaves 'Họ và tên' blank","SUCCESS","2022-05-16T23:49:01.394+07:00[Asia/Bangkok]","0.0","17.08"
"Order Page","Verify that the error message is shown when user enters address less than 15 characters","SUCCESS","2022-05-16T23:49:19.02+07:00[Asia/Bangkok]","0.0","16.64"
"Search function","Verify that user is able to search product when entering valid input","SUCCESS","2022-05-15T21:22:43.518+07:00[Asia/Bangkok]","0.0","16.71"
"Search function","Verify that the message is shown when user enters invalid data","SUCCESS","2022-05-15T21:23:04.114+07:00[Asia/Bangkok]","0.0","12.69"
"Search function","Verify that user is able to search products when entering number in the Search textbox","SUCCESS","2022-05-15T21:23:17.161+07:00[Asia/Bangkok]","0.0","13.55"
"Sign up form","Verify that the Sign up popup appears when user clicks the Sign up link","SUCCESS","2022-05-14T18:47:37.09+07:00[Asia/Bangkok]","0.0","21.91"
"Sign up form","Verify that user is able to sign up when entering valid inputs in all fields","SUCCESS","2022-05-14T18:47:59.455+07:00[Asia/Bangkok]","0.0","17.43"
"Sign up form","Verify that the error message is shown when user leaves the full name blank","SUCCESS","2022-05-14T18:48:23.452+07:00[Asia/Bangkok]","0.0","12.41"
"Sign up form","Verify that the error message is shown when user enters data less than 6 characters","SUCCESS","2022-05-14T18:48:35.93+07:00[Asia/Bangkok]","0.0","12.17"
"Sign up form","Verify that the error message is shown when user enters only spaces in the Full name field","SUCCESS","2022-05-14T18:48:48.502+07:00[Asia/Bangkok]","0.0","11.4"
"Sign up form","Verify that the error message is shown when user enters email in the wrong format","SUCCESS","2022-05-14T18:49:00.323+07:00[Asia/Bangkok]","0.0","12.92"
"Sign up form","Verify that the error message is shown when user leaves the email field blank","SUCCESS","2022-05-14T18:49:13.765+07:00[Asia/Bangkok]","0.0","11.61"
"Sign up form","Verify that the error message is shown when user enters only spaces in the email field","SUCCESS","2022-05-14T18:49:25.486+07:00[Asia/Bangkok]","0.0","13.35"
"Sign up form","Verify that the error message is shown when user leaves phone number field blank","SUCCESS","2022-05-14T18:49:39.521+07:00[Asia/Bangkok]","0.0","13.12"
"Sign up form","Verify that the error message is shown when user leaves password field blank","SUCCESS","2022-05-14T18:49:52.744+07:00[Asia/Bangkok]","0.0","14.71"
